text,label
"Hope Solo Asks To Postpone Hall Of Fame Ceremony So She Can Go To Rehab. The former U.S. Women’s National Team goalie said, “at this time, my energies and focus are totally directed to my health, healing and taking care of my family.”",sport
Lucius Fox Makes Sickening Exit Just 2 Pitches Into Game. The Washington Nationals infielder became a hurler for one gross moment — which was caught on video — against the San Francisco Giants.,sport
Tatum's Layup At Buzzer Gives Celtics 115-114 Win Over Nets. Jayson Tatum made a layup at the buzzer on a pass from Marcus Smart to give the Boston Celtics a dramatic 115-114 victory over the Brooklyn Nets in the Game 1 of their first-round playoff series,sport
"Mike Bossy, Islanders Great And 4-Time Stanley Cup Champion, Dies At 65. The New York Islanders star had been diagnosed with lung cancer.",sport
"WNBA Legend Lisa Leslie: We Were Told Not To Make 'Big Fuss' Over Brittney Griner. When Brittney Griner was arrested in Russia, there were fears she'd be used as a ""political pawn,"" Lisa Leslie said on a podcast.",sport
"Tom Brady Announces He's Not Retiring After All: 'My Place Is Still On The Field'. ""That time will come. But it’s not now,"" the NFL legend wrote.",sport
"Atlanta Falcons Player Suspended For 2022 Season After Betting On NFL Games. The NFL said Calvin Ridley's betting took place during five days in November 2021, when the wide receiver was away addressing mental health concerns.",sport
"As War Rages, Paralympics To Open In Beijing Without Russia. The Winter Paralympics are set to open in Beijing with the Russian athletes sent home and the Ukrainian team escaping a war zone to get to China.",sport
"Russians Face More Sports Sanctions, But Not At Paralympics. Russian athletes have been restricted from competing in more sporting events around the world but the Paralympics made an exception.",sport
MLB Cancels Opening Day As Labor Dispute Continues. Major League Baseball Commissioner Rob Manfred made the announcement after lockout talks collapsed ahead of management's deadline.,sport
MLB Pushes Labor-Deal Deadline To Tuesday For March 31 Start. Major League Baseball extended its deadline for rescuing opening day and a 162-game season until Tuesday at 5 p.m.,sport
Kentucky Derby Winner Medina Spirit Stripped Of Title Over Drug Test. Another horse was declared the winner of the race.,sport
"Mikaela Shiffrin Barely Misses Medal In Mixed Team Event, Notes 'Special Feeling'. The slumping U.S. ski star will leave the Beijing Winter Olympics without a medal but is ""optimistic.""",sport
Speedskater Bart Swings Accomplishes An Olympics First For Belgium. The Belgian Ministry of Foreign Affairs congratulated the athlete for his feat.,sport
"High Winds Cause Chaos On Penultimate Day Of Winter Olympics. Beijing Games organizers closed the ski slopes, then shortened the cross-country course by 40%.",sport
MLB Cancels Spring Games Through March 4 Due To Lockout. The announcement came a day after economic talks between the management and the Major League Baseball Players Association lasted just 15 minutes.,sport
Major League Baseball Fails To Start On Time And Winter Feels Endless. Pitchers and catchers didn't report as scheduled for spring training as MLB and players fight over $10 billion in revenue.,sport
"Olympic Snowboarder Roars Back From Injury With Some Big-Cat Energy. A knee injury prevented France’s Lucile Lefevre from trying any tricks, so she broke out a tiger outfit instead.",sport
Mikaela Shiffrin Sets Fastest Time In Downhill Training Session. The two-time U.S. Olympic champion skier so far has failed to win a medal at the Beijing Games.,sport
"Mikaela Shiffrin Jokes About Going Through With ‘A Really Bad Idea’ In Beijing. The U.S. skier laughed at the thought of entering six Alpine events at the 2022 Winter Olympics, which she confirmed Tuesday she’s intending to do.",sport
Erin Jackson Makes History With Speedskating Gold Medal Win For U.S.. She has become the first Black woman to win a speedskating medal at the Winter Olympics.,sport
"Faith Leaders Demand NFL Move Next Super Bowl From Arizona For 'Racist' Vote Crackdown. ""The Ballot or the Blackout"" campaign against Arizona steps up after federal lawmakers fail to pass national voting rights protections.",sport
Rams Legend Eric Dickerson Rejects Super Bowl Tickets 'In The Rafters'. The Hall of Fame running back gave the tickets to his sister and said he would probably watch the Rams-Bengals game at home.,sport
"Odell Beckham Jr. ‘On Standby’ For Baby News During Super Bowl 2022. Lauren Wood, the Los Angeles Rams receiver's girlfriend, is expecting their first child at any time.",sport
"Gold-Winning Canadian Snowboarder Cops To Error That Wasn't Spotted By Judges. “Everyone that snowboards knows I missed that grab. I’m not hiding from that. It is what it is,"" said Max Parrot, who won the Olympic slopestyle contest in Beijing.",sport
Urgent Doping Hearing To Decide Russian Figure Skater's Olympic Fate. Kamila Valieva’s right to compete in the women’s event in Beijing will be decided at an urgent hearing at the Court of Arbitration for Sport.,sport
Athletes Are Taping Their Faces At Winter Olympics But Maybe They Shouldn't. The CEO of a popular brand of kinesiology tape said his company doesn't endorse its use on the face.,sport
"Russian Skating Star Is 'Lighthearted' At Practice Amid Threat Of Olympic Ban. Kamila Valieva, who tested positive for a prohibited drug, may lose her team gold medal and a chance at an individual gold medal.",sport
Watch 15-Year-Old Skater Kamila Valieva Pull Off A Winter Olympics Stunner In Team Event. The U.S. stumbled to nearly eliminate gold medal hopes in the team competition.,sport
Engaged Hockey Star And Bobsledder Reunite At Winter Olympics — After 3 Months Apart. Blayre Turnbull and Ryan Sommer finally saw each other at the Beijing 2022 opening ceremony.,sport
Nathan Chen Brings His A-Game In First Skate At Beijing Winter Olympics. The American figure skating star's personal best short program helped the U.S. take the lead in the team competition.,sport
"People Are Obsessed With 1 Part Of The Canada Winter Olympic Team's Outfit. ""They're ridiculous and I'm obsessed,"" one fan wrote on Twitter.",sport
"U.S. Skier River Radamus Posts Sweet Message To His Mom As 2022 Olympics Kick Off. Momma, he made it.",sport
"Olympian Released From Beijing Isolation Facility After Emotional Video Plea. When the ambulance that Belgian skeleton racer Kim Meylemans thought was taking her to the Olympic village drove past it, panic set in.",sport
"Meet The First Nonbinary U.S. Athlete To Compete In Winter Olympics. “It’s been a really long journey for me, embracing my gender,” pairs skater Timothy LeDuc said.",sport
Joe Burrow Blasted For 'Distasteful' Joke About His Diamond Necklace. The Cincinnati Bengals quarterback took flak for lighthearted swagger after he led his team to a win over Kansas City and a berth in the Super Bowl.,sport
"Rafael Nadal Wins Australian Open For Record 21st Major Title. The 35-year-old Spaniard now has one more major title than Roger Federer and Novak Djokovic, his long-time rivals in the so-called Big Three.",sport
"Winter Olympics Mascots Through The Years. Bing Dwen Dwen the panda is the official mascot for the 2022 Beijing Olympics, but there were plenty before.",sport
"Tom Brady Bleeds In Playoff Defeat And Twitter's Sharks Come For Him. The Tampa Bay Buccaneers quarterback got his first unsportsmanlike penalty and a bloody lip after bragging that refs let him ""talk smack.""",sport
NY Yankees Make Rachel Balkovec 1st Woman To Manage MLB Farm Team. The 34-year-old was promoted Tuesday by the New York Yankees to dugout boss of the Low A Tampa Tarpons.,sport
"U.S. Speedskater's 'Honorable Move' Allows Friend To Replace Her In Olympic Race. Brittany Bowe stepped aside so Erin Jackson, who slipped in the trials, could skate the 500 meters in Beijing.",sport
LeBron James Dishes On His Dream To One Day Play In The NBA With His Son. Bronny has already made a name for himself in the basketball world.,sport
NBA Postpones 5 More Games In Response To Rising COVID Cases. At least 68 players have been ruled out to play because of Health and Safety Protocols related to the coronavirus.,sport
"LeBron James' Age-Defying Leap Makes Fans Jump For Joy. The nearly 37-year-old superstar made a ""superhuman"" block in the Lakers' victory over the Mavericks.",sport
"Zac Stacy Makes Jaw-Dropping Claim About Alleged Beating Of Ex-Girlfriend. The apparent attack by the ex-NFL running back, who's out on bail, was captured on home surveillance video.",sport
Watch Rutgers Star Ron Harper Jr. Make The Buzzer Beater Of The Year. The Scarlet Knights basketball team stunned No. 1 Purdue in their first victory over a top-ranked team.,sport
"1983 AL Cy Young Award Winner LaMarr Hoyt Dies At 66. The Chicago White Sox said Hoyt died Monday in his hometown of Columbia, South Carolina, following a lengthy illness.",sport
"Michael Savarino, Mike Krzyzewski's Grandson Who Plays For Duke, Faces DUI Charge. ""We'll handle that internally,"" the Duke coach said after Savarino and star teammate Paolo Banchero were pulled over.",sport
"Phillie Phanatic Is Back! Team Mascot Settles Legal Dispute. “We welcome the original Phillie Phanatic back with open arms,” Phillies executive vice president David Buck said Tuesday.",sport
"San Francisco 49ers Player Makes Incredible 'Buttception'. Sadly, things ended on a bum note, as K'Waun Williams was called for pass interference for his cheeky play.",sport
"Nikola Jokic Unleashes 'Nasty Cheap Shot' At Markieff Morris In Ugliest Play Of Season. The Denver Nuggets star, ejected after his blindside hit, said he felt bad because Morris' ""head snapped back.""",sport
"High School Football Team Beats Rival So Badly Principal Apologizes. California's Inglewood High School trounced Morningside by a margin so extreme that the losing coach called his rival ""classless.""",sport
New Zealand 'All Whites' Soccer Team Drops Nickname. The team said it was carrying out a variety of measures aimed at improving its cultural inclusivity.,sport
Commentator Apologizes After Racist On-Air Joke About Japanese Baseball Player. Jack Morris appeared to make fun of an Asian accent as he discussed Angels all-star Shohei Ohtani.,sport
Caeleb Dressel Swims With His Dog Jane In Gold Medal-Worthy Video. The Olympic swimmer's canine pal showed impressive prowess in the pool.,sport
"U.S. Women's Basketball Defeats Japan To Win 7th Straight Gold Medal. Brittney Griner scored 30 points, and the United States won its seventh straight gold medal in women’s basketball, beating Japan 90-75.",sport
"Leslie Jones' Uncensored Commentary Puts Olympic Rhythmic Gymnastics On The Map. The former ""Saturday Night Live"" comedian provided her unique perspective, and the sport may never be the same.",sport
Diver Tom Daley Unboxing Condoms In The Olympic Village To Lil Nas X Is A Vibe. A video of the Olympic champion is going viral on TikTok.,sport
"Olympic Shooter Blames Wardrobe Malfunction For Bull's-Eye Blooper. “I am not happy,"" said Ukraine's Serhiy Kulish, whose gaffe cost him a medal in Tokyo.",sport
Olympic Sprint King Lamont Marcell Jacobs Reconnects With American Father He Last Saw As Infant. The surprise 100-meter champ said establishing a relationship with his father helped motivate him in Tokyo.,sport
"Shot-Putter Raven Saunders Defends ‘X’ Gesture, In Honor Of All Who Are Oppressed. “Shout out to all my Black people. Shout out to all my LBGTQ community. Shout out to everybody dealing with mental health,"" Saunders said.",sport
MyKayla Skinner Goes From Sub To Silver Medal Winner In Olympic Vault. The veteran gymnast thought her Olympic dreams were over before she got a second chance because of Simone Biles' withdrawal.,sport
"NBC Cuts Short Raven Saunders' Twerking Celebration, Viewers Say. The American won silver in the shot put and won over fans with her strength and style.",sport
"Simone Biles Withdraws From Floor Event Finals. Simone Biles has taken time for her mental health and to recover from the ""twisties.""",sport
U.S. Olympic Shot Putter’s Supervillain Face Mask Is No Joke. Raven Saunders is wearing one attention-grabbing garment in Tokyo.,sport
"Olympic Swimmer Lilly King Says This 1 American Trait Is 'Bulls**t'. The swim star said it wasn't excused by America maybe having ""extremely high standards for this sort of thing.""",sport
"Elaine Thompson-Herah Wins 2nd Straight 100-Meter Gold In Blazing Time. Jamaicans completed a sweep and the lone American, Teahna Daniels, finished seventh at the Tokyo Olympics.",sport
"Novak Djokovic’s Racket Ends Up Just Like His Golden Slam Dreams, In Absolute Ruins. The Serbian superstar's racket received the brunt of his temper tantrum during his loss to Spain's Pablo Carreño Busta in the bronze medal match.",sport
Katie Ledecky Puts Her Up And Down Olympics In Perfect Perspective After Gold. The U.S. swim star had a powerful message after winning the 1500-meter freestyle.,sport
"Swimmer Wins Tokyo Olympics Gold After Beating COVID-19 Twice In 5 Months. Britain’s Tom Dean missed more than six weeks in the pool before the Tokyo games, but powered through to win the 200-meter freestyle event.",sport
"Olympic Diver Tom Daley Knitted Special Accessory For Gold Medal. The Brit, who won gold in the men's synchronized 10-meter platform event with teammate Matty Lee, showed off the craft on Instagram.",sport
"Watch Gymnast Luciana Alvarado's BLM-Tribute Raised Fist In Olympics Routine. She said she wanted to highlight the ""importance of everyone treated with respect and dignity.""",sport
"Australian Gold Medal Winner's Coach Has The Best Reaction To Her Stellar Swim. Ariarne Titmus won the 400-meter, and coach Dean Boxall won the internet meme game.",sport
"Diver Tom Daley Wins Gold: 'I Am A Gay Man And Also An Olympic Champion'. Daley, who paired with Matty Lee to win the 10-meter synchronized platform for Britain, delivered a powerful message to LGBTQ fans.",sport
"The Aerials, Slides And Wipeouts Of Skateboarding's First Olympics. The men's street competition began Saturday, and photographers captured every grinding moment of it.",sport
The Most Incredible Photos Of Surfing's Olympic Debut. Surfers from around the world appear to defy gravity and buoyancy to stun the judges on the waves.,sport
"A ‘Bill Of Rights’ Aims To Keep Child Athletes Safe From Sex Abuse As Olympics Begin. After the Larry Nassar scandal, advocates are calling on sports groups, gyms and more to commit to preventing child sexual abuse by adopting the set of principles.",sport
"Coco Gauff Will Miss Olympics After Testing Positive For COVID-19. The 17-year-old was expected to lead Team USA's 12-person tennis team at the Tokyo Games, which begin in just a few days.",sport
Judge Nullifies Horse Trainer Bob Baffert’s NY Suspension. The judge ruled that the New York Racing Association acted unconstitutionally by not letting Baffert adequately respond to claims after a horse failed a postrace drug test.,sport
"Novak Djokovic '50-50' On Whether To Play At Tokyo Olympics. The top-ranked male tennis player has a chance at a ""Golden Slam"" if he competes.",sport
MLB Places Trevor Bauer On Leave Following Sexual Assault Allegations. A woman has accused the Los Angeles Dodgers pitcher of assaulting her. The LAPD is investigating the allegations.,sport
Tom Brady’s Personalized Golf Balls Are The G.O.A.T.. The Super Bowl champ's Titleist balls are customized with small reminders of his greatness on the football field.,sport
"Serena Williams Says She Won't Play At Tokyo Olympics. The tennis star, who has won four gold medals at past Summer Olympics, did not want to disclose why she's chosen not to play at this year's games.",sport
"Tokyo Olympics To Allow Limit Of 10,000 Local Fans In Venues. The decision contradicts the country’s top medical adviser.",sport
Wimbledon Reaches Out To Naomi Osaka Over Media Operations. The tennis star withdrew from the French Open after shunning press conferences to protect her mental health.,sport
"MLB Pitchers Could Face 10-Game Bans For Altering Balls: Commissioner. Repeat offenders will receive progressive discipline, and teams and club employees will be subject to discipline for failure to comply",sport
Coco Gauff's French Open Loss Is The Wrong Kind Of Smashing Success. The 17-year-old American took out her frustrations on her racket during a quarterfinals defeat against Barbora Krejčíková.,sport
Naomi Osaka Drops Out Of 2nd Tournament Amid Break For Mental Health. The world's second-ranked tennis player withdrew from the German Open days after pulling out of the French Open while citing mental health issues.,sport
Volleyballer Makes Racist Gesture About Thai Opponent During Televised Match. Serbian volleyball player Sanja Djurdjevic sparked an uproar after she stretched her eyes apart when her team won a point.,sport
"10,000 Volunteers Drop Out Of Tokyo Olympics. Some were worried about COVID-19, organizers said.",sport
Venus Williams 'Drops The Mic' With Fiercely Honest Take On Naomi Osaka Situation. Viewers were obsessed with the tennis legend's answer on how she deals with pressure from the media.,sport
Twins Outfielder Delivers One Of The Greatest Sports Bloopers Of All Time. Rob Refsnyder makes the highlight reels for all the wrong reasons.,sport
"Naomi Osaka Fined $15,000 For Refusing To Speak With Press At French Open. Heads of the organizations in charge of all four tennis Grand Slams said Osaka could face suspension from future tournaments if she refuses to speak with the media.",sport
Cubs Star's Ordinary Ground Ball Turns Into The Adventure Of A Lifetime. Javier Báez took advantage of shoddy Pirates fielding in a play unlike any other.,sport
"LeBron James Is Out Indefinitely After Bad Sprain In Loss To Hawks. The Lakers superstar was knocked in a foul, and fell, screaming, clutching his ankle.",sport
"Basketball Officials Probing Complaint That Jeremy Lin Was Called 'Coronavirus' On Court. “Being a 9-year NBA veteran doesn’t protect me from being called ‘coronavirus’ on the court,” an angry Lin wrote of increasing racism against Asian Americans.",sport
"Skateboarding Champion Charged For Hosting Los Angeles Party Amid Pandemic. Nyjah Huston co-hosted a party in January with at least 40 people, police said.",sport
Naomi Osaka Beats Jennifer Brady To Win Second Australian Open. The tennis star claimed her fourth Grand Slam title with the victory.,sport
More Minorities Got Interviews For NFL Jobs. But They Didn't Get Hired. Only two of the seven head coaching jobs that opened this month went to minorities.,sport
"Tom Brady And Tampa Bay Buccaneers Beat Green Bay Packers To Win NFC Title. Brady is heading to his 10th Super Bowl, and the Tampa Bay Buccaneers are going to their second Super Bowl in franchise history.",sport
"NFL Star Drops An F-Bomb On Nickelodeon, And The Reactions Are All That. Nickelodeon's broadcast included slime, wild graphics and some new words.",sport
Tampa Bay Rays Headed To World Series. The Rays silenced the Houston Astros 4-2 in Game 7 of the ALCS to reach the World Series for just the second time.,sport
UFC Fighters Amanda Nunes And Nina Ansaroff Celebrate First Child. The couple first met at an MMA gym in 2012 and have been sparring ever since.,sport
Big Ten Announces It Will Begin College Football Season After All. The conference had previously postponed playing because of the coronavirus pandemic.,sport
"Naomi Osaka Surges From Slow Start In US Open Final To Win 3rd Grand Slam Title. Over the course of her US Open run, the tennis star strategically used her masks to highlight victims of police brutality.",sport
"Pro Wrestling Icon Mick Foley Has One Scathing Question For Trump Supporters. The WWE Hall of Famer says there's ""too much to lose to stay quiet.""",sport
"Olympians Michael Phelps, Apollo Ohno Discuss Suicide, Depression In New Doc. Phelps told the Associated Press that while many people care about an athlete's physical well-being, he ""never saw caring about our mental well-being.”",sport
"MLB Commissioner Confident League Can Get Through Season, Playoffs Despite Coronavirus. At least 18 Miami Marlins players have been infected along with three St. Louis Cardinals. More than a dozen games have been postponed.",sport
"America Isn't Prepared To Bring Back Sports. Major League Baseball and other pro leagues are eager to start playing again, but the worsening pandemic makes it clear that's a bad idea.",sport
"Washington NFL Team Retires Jersey Of Its First Black Player, Leaves Racist Name In Place. The football team honored Bobby Mitchell by retiring his number and renaming part of its stadium after him. Activists say more change is needed.",sport
"Simone Biles Casually Nails Another Astonishing Move In Training. “Sometimes I flip and what not,"" the greatest gymnast of all time wrote on Twitter with a video of her latest feat.",sport
Kobe Bryant's Pilot May Have Been Disoriented In Fog: NTSB Report. Federal investigators said the man who piloted the basketball's stars helicopter he was climbing when he actually was descending.,sport
"Anthony Causi, Popular Sports Photographer, Dead At 48 From COVID-19. The New York Post photographer covered the city’s teams for 25 years.",sport
"Simone Biles Slaps Down Birthday Wishes From USA Gymnastics, Demands Abuse Investigation. ""How about you amaze me and do the right thing,"" snapped the Olympic gold medalist.",sport
Kobe Bryant One Of 8 Finalists For Basketball Hall Of Fame. Other finalists include Tim Duncan and Kevin Garnett.,sport
"Lakers 'Family' Pours Out Love And Tears For Kobe Bryant At First Game Since Tragedy. “The first thing that comes to mind, man, is all about family. As I look around, we’re all grieving, we’re all hurt, we’re all heartbroken,” said player LeBron James.",sport
"LeBron James Reflected On Kobe Bryant's Legacy The Night Before His Death. The former Los Angeles Laker, his daughter and seven other people died Sunday in a helicopter crash in Calabasas, California.",sport
U.S. Men's Soccer Team Cancels Qatar Training Camp Amid Safety Concerns In Region. U.S. Soccer Federation officials made the decision less than 24 hours after a U.S. drone strike killed top Iranian general Qassem Soleimani.,sport
Watch Serena Williams Punch HARD In Boxing Lesson With Mike Tyson. The tennis champ let her fists fly in a cross-training workout with the former heavyweight champ.,sport
"Former U.S. Goalkeeper Hope Solo Is Pregnant With Twins. ""Miniature soccer team on the way,"" she said after announcing the news.",sport
"Former NBA Commissioner David Stern Suffers Brain Hemorrhage. Stern, who served 30 years as the NBA’s longest-tenured commissioner, is undergoing emergency surgery.",sport
"J.J. Culver Scores 100 In College Basketball Game For Wayland Baptist. ""The guys realized he was hot and kept going to him,” coach Ty Harrelson said.",sport
"Cowboys Kicker Brett Maher Visits Sick Kids In Hospitals, Then Is Cut By Team. ""Dirty business,"" a reporter wrote after the player made the hospital rounds with teammates.",sport
"Gary Sheffield Blasts 3 Straight Home Runs While Smoking Cigar. ""Old man still got it,"" the MLB great wrote.",sport
Stephen F. Austin Upsets No. 1 Duke At Buzzer And Goes Bonkers. The Lumberjacks ended the Blue Devils' 150-game home winning streak against nonconference opponents.,sport
"Athletes, Commentators Skeptical About NFL's Scheduled Workout For Colin Kaepernick. ""At this point, I’ll believe when I see it,"" Carolina Panthers safety Eric Reid, a friend of the quarterback, told reporters.",sport
"Colin Kaepernick To Attend NFL Workout 3 Years After Protest. The former San Francisco 49ers quarterback has been out of the league since the season when he began to protest racial injustice, becoming a civil rights leader.",sport
Heisman Trophy Winner Mark Ingram Blames Alabama Loss On Donald Trump. The president attended the big game against LSU.,sport
Houston Astros Fire Staffer Over Outburst At Female Reporters. The MLB was investigating Brandon Taubman for allegedly taunting female journalists about a player who sat out 75 games over domestic violence claims.,sport
MLB Ump Reportedly Tweets He's Getting AR-15 For 'Cival War' If Trump's Impeached. Longtime umpire Rob Drake has since deleted his Twitter account.,sport
"MLB To Investigate Houston Astros Staffer's Outburst At Female Reporters. Brandon Taubman reportedly taunted them with praise of Roberto Osuna, who sat out 75 games over domestic violence claims.",sport
"Race Imboden: Ironic That U.S. Olympics Will Induct Protest Legends To Hall Of Fame. USOPC will honor Tommie Smith and John Carlos months after giving probation to fencer Imboden and hammer thrower Gwen Berry, who protested at the Pan Am Games.",sport
Tom Brady Attempts A Block In Patriots' Rout Of Jets. Fans Gasp.. The Super Bowl champion quarterback's team was already ahead by 23 points at the time.,sport
"Report: Colts QB Andrew Luck To Retire After Latest Injury, Is 'Mentally Worn Down'. The 29-year-old was the No. 1 overall pick in the 2012 NFL draft.",sport
Simona Halep Beats Serena Williams In Wimbledon Final. The Romanian Halep beat Williams 6-2 at the All England Club.,sport
Bryson DeChambeau Sinks His First Ever Hole-In-One At Masters. It was a moment he's sure to never forget.,sport
"Texas Rangers' Elvis Andrus Is Using 'Baby Shark' As His Walk-Up Song. ""If you don't like it, you better get used to it, it's not going away,"" the shortstop said of his toddler's favorite song.",sport
Adidas To Pay Equal Bonuses For Women's World Cup Winners. The women’s team will be defending their World Cup crown in June.,sport
Holy Puck! Hockey Announcer's Terrifying Close Call Caught On Video. NBC's Pierre McGuire came within inches of being struck in the face with an errant puck.,sport
NBA To Co-Launch Professional Basketball League In Africa. The Basketball Africa League will be the first time the NBA collaborates to operate a league outside of North America.,sport
"Patriots, Tom Brady Grind Out Rams To Claim Sixth Title In Lackluster Super Bowl. The New England Patriots defeated the Los Angeles Rams in a game that was offensively challenged and aesthetically displeasing.",sport
Pierre McGuire Mansplains Hockey To Olympic Gold Medalist Kendall Coyne Schofield. She said she wished the exchange had gone differently but stressed that girls should be confident and believe in themselves.,sport
Roger Federer Will Face Off With Serena Williams For The First Time. The tennis legends will play a mixed doubles match on New Year's Day at the Hopman Cup in Australia.,sport
Chicago Bears' Charles Leno Jr. Proposes To Girlfriend After Victory. Fans hope it's not the last ring he  picks up this season.,sport
"Serena Williams Will Be Able To Bring Back The Catsuit In 2019. She'll be allowed to rock the suit at Women’s Tennis Association matches, though it may still be barred from the French Open.",sport
Philadelphia Eagles Bailed 9 People From Jail Using Social Justice Funds. The NFL team's players raised money that was matched by the Eagles Social Justice Fund over Thanksgiving.,sport
"Steph Curry Responded To A Little Girl Who Asked Why His Shoes Don't Come In Girls' Sizes. ""Girls want to rock the Curry 5’s too,"" 9-year-old Riley Morrison wrote to the NBA star.",sport
This Gymnast's World Record Backflip Has To Be Seen To Be Believed. Ashley Watson nailed it.,sport
Dodgers Stun Red Sox In Longest World Series Game Ever. The Dodgers' Max Muncy homered in the bottom of the 18th to cap an all-time classic.,sport
"Tension Over NFL Kneeling Protests Spills Onto The Field In Philadelphia. Before the game, Panthers safety Eric Reid walked onto the field to confront Eagles safety Malcolm Jenkins.",sport
